00000000000 // a =  0 , b =  0 , sel =  0
00001111101 // a =  7 , b = 13 , sel =  0
00001111110 // a =  7 , b = 14 , sel =  0
00001111111 // a =  7 , b = 15 , sel =  0
00010000000 // a =  8 , b =  0 , sel =  0
00010000001 // a =  8 , b =  1 , sel =  0
00010000010 // a =  8 , b =  2 , sel =  0
00010000011 // a =  8 , b =  3 , sel =  0
00010000100 // a =  8 , b =  4 , sel =  0
00010000101 // a =  8 , b =  5 , sel =  0
00010000110 // a =  8 , b =  6 , sel =  0
00010000111 // a =  8 , b =  7 , sel =  0
00010001000 // a =  8 , b =  8 , sel =  0
00010001001 // a =  8 , b =  9 , sel =  0
00010001010 // a =  8 , b = 10 , sel =  0
00010001011 // a =  8 , b = 11 , sel =  0
00010001100 // a =  8 , b = 12 , sel =  0
00010001101 // a =  8 , b = 13 , sel =  0
00010001110 // a =  8 , b = 14 , sel =  0
00010001111 // a =  8 , b = 15 , sel =  0
00010010000 // a =  9 , b =  0 , sel =  0
00010010001 // a =  9 , b =  1 , sel =  0
00010010010 // a =  9 , b =  2 , sel =  0
00010010011 // a =  9 , b =  3 , sel =  0
00010010100 // a =  9 , b =  4 , sel =  0
00010010101 // a =  9 , b =  5 , sel =  0
00010010110 // a =  9 , b =  6 , sel =  0
00010010111 // a =  9 , b =  7 , sel =  0
00010011000 // a =  9 , b =  8 , sel =  0
00010011001 // a =  9 , b =  9 , sel =  0
00010011010 // a =  9 , b = 10 , sel =  0
00010011011 // a =  9 , b = 11 , sel =  0
00010011100 // a =  9 , b = 12 , sel =  0
00010011101 // a =  9 , b = 13 , sel =  0
00010011110 // a =  9 , b = 14 , sel =  0
00010011111 // a =  9 , b = 15 , sel =  0
00010100000 // a = 10 , b =  0 , sel =  0
00010100001 // a = 10 , b =  1 , sel =  0
00010100010 // a = 10 , b =  2 , sel =  0
00010100011 // a = 10 , b =  3 , sel =  0
00010100100 // a = 10 , b =  4 , sel =  0
00010100101 // a = 10 , b =  5 , sel =  0
00010100110 // a = 10 , b =  6 , sel =  0
00010100111 // a = 10 , b =  7 , sel =  0
00010101000 // a = 10 , b =  8 , sel =  0
00010101001 // a = 10 , b =  9 , sel =  0
00010101010 // a = 10 , b = 10 , sel =  0
00010101011 // a = 10 , b = 11 , sel =  0
00010101100 // a = 10 , b = 12 , sel =  0
00010101101 // a = 10 , b = 13 , sel =  0
00010101110 // a = 10 , b = 14 , sel =  0
00010101111 // a = 10 , b = 15 , sel =  0
00010110000 // a = 11 , b =  0 , sel =  0
00010110001 // a = 11 , b =  1 , sel =  0
00010110010 // a = 11 , b =  2 , sel =  0
00010110011 // a = 11 , b =  3 , sel =  0
00010110100 // a = 11 , b =  4 , sel =  0
00010110101 // a = 11 , b =  5 , sel =  0
00010110110 // a = 11 , b =  6 , sel =  0
00010110111 // a = 11 , b =  7 , sel =  0
00010111000 // a = 11 , b =  8 , sel =  0
00010111001 // a = 11 , b =  9 , sel =  0
00010111010 // a = 11 , b = 10 , sel =  0
00010111011 // a = 11 , b = 11 , sel =  0
00010111100 // a = 11 , b = 12 , sel =  0
00010111101 // a = 11 , b = 13 , sel =  0
00010111110 // a = 11 , b = 14 , sel =  0
00010111111 // a = 11 , b = 15 , sel =  0
00011000000 // a = 12 , b =  0 , sel =  0
00011000001 // a = 12 , b =  1 , sel =  0
00011000010 // a = 12 , b =  2 , sel =  0
00011000011 // a = 12 , b =  3 , sel =  0
00011000100 // a = 12 , b =  4 , sel =  0
00011000101 // a = 12 , b =  5 , sel =  0
00011000110 // a = 12 , b =  6 , sel =  0
00011000111 // a = 12 , b =  7 , sel =  0
00011001000 // a = 12 , b =  8 , sel =  0
00011001001 // a = 12 , b =  9 , sel =  0
00011001010 // a = 12 , b = 10 , sel =  0
00011001011 // a = 12 , b = 11 , sel =  0
00011001100 // a = 12 , b = 12 , sel =  0
00011001101 // a = 12 , b = 13 , sel =  0
00011001110 // a = 12 , b = 14 , sel =  0
00011001111 // a = 12 , b = 15 , sel =  0
00011010000 // a = 13 , b =  0 , sel =  0
00011010001 // a = 13 , b =  1 , sel =  0
00011010010 // a = 13 , b =  2 , sel =  0
00011010011 // a = 13 , b =  3 , sel =  0
00011010100 // a = 13 , b =  4 , sel =  0
00011010101 // a = 13 , b =  5 , sel =  0
00011010110 // a = 13 , b =  6 , sel =  0
00011010111 // a = 13 , b =  7 , sel =  0
00011011000 // a = 13 , b =  8 , sel =  0
00011011001 // a = 13 , b =  9 , sel =  0
00011011010 // a = 13 , b = 10 , sel =  0
00011011011 // a = 13 , b = 11 , sel =  0
00011011100 // a = 13 , b = 12 , sel =  0
00011011101 // a = 13 , b = 13 , sel =  0
00011011110 // a = 13 , b = 14 , sel =  0
00011011111 // a = 13 , b = 15 , sel =  0
00011100000 // a = 14 , b =  0 , sel =  0
00011100001 // a = 14 , b =  1 , sel =  0
00011100010 // a = 14 , b =  2 , sel =  0
00011100011 // a = 14 , b =  3 , sel =  0
00011100100 // a = 14 , b =  4 , sel =  0
00011100101 // a = 14 , b =  5 , sel =  0
00011100110 // a = 14 , b =  6 , sel =  0
00011100111 // a = 14 , b =  7 , sel =  0
00011101000 // a = 14 , b =  8 , sel =  0
00011101001 // a = 14 , b =  9 , sel =  0
00011101010 // a = 14 , b = 10 , sel =  0
00011101011 // a = 14 , b = 11 , sel =  0
00011101100 // a = 14 , b = 12 , sel =  0
00011101101 // a = 14 , b = 13 , sel =  0
00011101110 // a = 14 , b = 14 , sel =  0
00011101111 // a = 14 , b = 15 , sel =  0
00011110000 // a = 15 , b =  0 , sel =  0
00011110001 // a = 15 , b =  1 , sel =  0
00011110010 // a = 15 , b =  2 , sel =  0
00011110011 // a = 15 , b =  3 , sel =  0
00011110100 // a = 15 , b =  4 , sel =  0
00011110101 // a = 15 , b =  5 , sel =  0
00011110110 // a = 15 , b =  6 , sel =  0
00011110111 // a = 15 , b =  7 , sel =  0
00011111000 // a = 15 , b =  8 , sel =  0
00011111001 // a = 15 , b =  9 , sel =  0
00011111010 // a = 15 , b = 10 , sel =  0
00011111011 // a = 15 , b = 11 , sel =  0
00011111100 // a = 15 , b = 12 , sel =  0
00011111101 // a = 15 , b = 13 , sel =  0
00011111110 // a = 15 , b = 14 , sel =  0
00011111111 // a = 15 , b = 15 , sel =  0
00100000000 // a =  0 , b =  0 , sel =  1
00100000001 // a =  0 , b =  1 , sel =  1
00100000010 // a =  0 , b =  2 , sel =  1
00100000011 // a =  0 , b =  3 , sel =  1
00100000100 // a =  0 , b =  4 , sel =  1
00100000101 // a =  0 , b =  5 , sel =  1
00100000110 // a =  0 , b =  6 , sel =  1
00100000111 // a =  0 , b =  7 , sel =  1
00100001000 // a =  0 , b =  8 , sel =  1
00100001001 // a =  0 , b =  9 , sel =  1
00100001010 // a =  0 , b = 10 , sel =  1
00100001011 // a =  0 , b = 11 , sel =  1
00100001100 // a =  0 , b = 12 , sel =  1
00100001101 // a =  0 , b = 13 , sel =  1
00100001110 // a =  0 , b = 14 , sel =  1
00100001111 // a =  0 , b = 15 , sel =  1
00100010000 // a =  1 , b =  0 , sel =  1
00100010001 // a =  1 , b =  1 , sel =  1
00100010010 // a =  1 , b =  2 , sel =  1
00100010011 // a =  1 , b =  3 , sel =  1
00100010100 // a =  1 , b =  4 , sel =  1
00100010101 // a =  1 , b =  5 , sel =  1
00100010110 // a =  1 , b =  6 , sel =  1
00100010111 // a =  1 , b =  7 , sel =  1
00100011000 // a =  1 , b =  8 , sel =  1
00100011001 // a =  1 , b =  9 , sel =  1
00100011010 // a =  1 , b = 10 , sel =  1
00100011011 // a =  1 , b = 11 , sel =  1
00100011100 // a =  1 , b = 12 , sel =  1
00100011101 // a =  1 , b = 13 , sel =  1
00100011110 // a =  1 , b = 14 , sel =  1
00100011111 // a =  1 , b = 15 , sel =  1
00100100000 // a =  2 , b =  0 , sel =  1
00100100001 // a =  2 , b =  1 , sel =  1
00100100010 // a =  2 , b =  2 , sel =  1
00100100011 // a =  2 , b =  3 , sel =  1
00100100100 // a =  2 , b =  4 , sel =  1
00100100101 // a =  2 , b =  5 , sel =  1
00100100110 // a =  2 , b =  6 , sel =  1
00100100111 // a =  2 , b =  7 , sel =  1
00100101000 // a =  2 , b =  8 , sel =  1
00100101001 // a =  2 , b =  9 , sel =  1
00100101010 // a =  2 , b = 10 , sel =  1
00100101011 // a =  2 , b = 11 , sel =  1
00100101100 // a =  2 , b = 12 , sel =  1
00100101101 // a =  2 , b = 13 , sel =  1
00100101110 // a =  2 , b = 14 , sel =  1
00100101111 // a =  2 , b = 15 , sel =  1
00100110000 // a =  3 , b =  0 , sel =  1
00100110001 // a =  3 , b =  1 , sel =  1
00100110010 // a =  3 , b =  2 , sel =  1
00100110011 // a =  3 , b =  3 , sel =  1
00100110100 // a =  3 , b =  4 , sel =  1
00100110101 // a =  3 , b =  5 , sel =  1
00100110110 // a =  3 , b =  6 , sel =  1
00100110111 // a =  3 , b =  7 , sel =  1
00100111000 // a =  3 , b =  8 , sel =  1
00100111001 // a =  3 , b =  9 , sel =  1
00100111010 // a =  3 , b = 10 , sel =  1
00100111011 // a =  3 , b = 11 , sel =  1
00100111100 // a =  3 , b = 12 , sel =  1
00100111101 // a =  3 , b = 13 , sel =  1
00100111110 // a =  3 , b = 14 , sel =  1
00100111111 // a =  3 , b = 15 , sel =  1
00101000000 // a =  4 , b =  0 , sel =  1
00101000001 // a =  4 , b =  1 , sel =  1
00101000010 // a =  4 , b =  2 , sel =  1
00101000011 // a =  4 , b =  3 , sel =  1
00101000100 // a =  4 , b =  4 , sel =  1
00101000101 // a =  4 , b =  5 , sel =  1
00101000110 // a =  4 , b =  6 , sel =  1
00101000111 // a =  4 , b =  7 , sel =  1
00101001000 // a =  4 , b =  8 , sel =  1
00101001001 // a =  4 , b =  9 , sel =  1
00101001010 // a =  4 , b = 10 , sel =  1
00101001011 // a =  4 , b = 11 , sel =  1
00101001100 // a =  4 , b = 12 , sel =  1
00101001101 // a =  4 , b = 13 , sel =  1
00101001110 // a =  4 , b = 14 , sel =  1
00101001111 // a =  4 , b = 15 , sel =  1
00101010000 // a =  5 , b =  0 , sel =  1
00101010001 // a =  5 , b =  1 , sel =  1
00101010010 // a =  5 , b =  2 , sel =  1
00101010011 // a =  5 , b =  3 , sel =  1
00101010100 // a =  5 , b =  4 , sel =  1
00101010101 // a =  5 , b =  5 , sel =  1
00101010110 // a =  5 , b =  6 , sel =  1
00101010111 // a =  5 , b =  7 , sel =  1
00101011000 // a =  5 , b =  8 , sel =  1
00101011001 // a =  5 , b =  9 , sel =  1
00101011010 // a =  5 , b = 10 , sel =  1
00101011011 // a =  5 , b = 11 , sel =  1
00101011100 // a =  5 , b = 12 , sel =  1
00101011101 // a =  5 , b = 13 , sel =  1
00101011110 // a =  5 , b = 14 , sel =  1
00101011111 // a =  5 , b = 15 , sel =  1
00101100000 // a =  6 , b =  0 , sel =  1
00101100001 // a =  6 , b =  1 , sel =  1
00101100010 // a =  6 , b =  2 , sel =  1
00101100011 // a =  6 , b =  3 , sel =  1
00101100100 // a =  6 , b =  4 , sel =  1
00101100101 // a =  6 , b =  5 , sel =  1
00101100110 // a =  6 , b =  6 , sel =  1
00101100111 // a =  6 , b =  7 , sel =  1
00101101000 // a =  6 , b =  8 , sel =  1
00101101001 // a =  6 , b =  9 , sel =  1
00101101010 // a =  6 , b = 10 , sel =  1
00101101011 // a =  6 , b = 11 , sel =  1
00101101100 // a =  6 , b = 12 , sel =  1
00101101101 // a =  6 , b = 13 , sel =  1
00101101110 // a =  6 , b = 14 , sel =  1
00101101111 // a =  6 , b = 15 , sel =  1
00101110000 // a =  7 , b =  0 , sel =  1
00101110001 // a =  7 , b =  1 , sel =  1
00101110010 // a =  7 , b =  2 , sel =  1
00101110011 // a =  7 , b =  3 , sel =  1
00101110100 // a =  7 , b =  4 , sel =  1
00101110101 // a =  7 , b =  5 , sel =  1
00101110110 // a =  7 , b =  6 , sel =  1
00101110111 // a =  7 , b =  7 , sel =  1
00101111000 // a =  7 , b =  8 , sel =  1
00101111001 // a =  7 , b =  9 , sel =  1
00101111010 // a =  7 , b = 10 , sel =  1
00101111011 // a =  7 , b = 11 , sel =  1
00101111100 // a =  7 , b = 12 , sel =  1
00101111101 // a =  7 , b = 13 , sel =  1
00101111110 // a =  7 , b = 14 , sel =  1
00101111111 // a =  7 , b = 15 , sel =  1
00110000000 // a =  8 , b =  0 , sel =  1
00110000001 // a =  8 , b =  1 , sel =  1
00110000010 // a =  8 , b =  2 , sel =  1
00110000011 // a =  8 , b =  3 , sel =  1
00110000100 // a =  8 , b =  4 , sel =  1
00110000101 // a =  8 , b =  5 , sel =  1
00110000110 // a =  8 , b =  6 , sel =  1
00110000111 // a =  8 , b =  7 , sel =  1
00110001000 // a =  8 , b =  8 , sel =  1
00110001001 // a =  8 , b =  9 , sel =  1
00110001010 // a =  8 , b = 10 , sel =  1
00110001011 // a =  8 , b = 11 , sel =  1
00110001100 // a =  8 , b = 12 , sel =  1
00110001101 // a =  8 , b = 13 , sel =  1
00110001110 // a =  8 , b = 14 , sel =  1
00110001111 // a =  8 , b = 15 , sel =  1
00110010000 // a =  9 , b =  0 , sel =  1
00110010001 // a =  9 , b =  1 , sel =  1
00110010010 // a =  9 , b =  2 , sel =  1
00110010011 // a =  9 , b =  3 , sel =  1
00110010100 // a =  9 , b =  4 , sel =  1
00110010101 // a =  9 , b =  5 , sel =  1
00110010110 // a =  9 , b =  6 , sel =  1
00110010111 // a =  9 , b =  7 , sel =  1
00110011000 // a =  9 , b =  8 , sel =  1
00110011001 // a =  9 , b =  9 , sel =  1
00110011010 // a =  9 , b = 10 , sel =  1
00110011011 // a =  9 , b = 11 , sel =  1
00110011100 // a =  9 , b = 12 , sel =  1
00110011101 // a =  9 , b = 13 , sel =  1
00110011110 // a =  9 , b = 14 , sel =  1
00110011111 // a =  9 , b = 15 , sel =  1
00110100000 // a = 10 , b =  0 , sel =  1
00110100001 // a = 10 , b =  1 , sel =  1
00110100010 // a = 10 , b =  2 , sel =  1
00110100011 // a = 10 , b =  3 , sel =  1
00110100100 // a = 10 , b =  4 , sel =  1
00110100101 // a = 10 , b =  5 , sel =  1
00110100110 // a = 10 , b =  6 , sel =  1
00110100111 // a = 10 , b =  7 , sel =  1
00110101000 // a = 10 , b =  8 , sel =  1
00110101001 // a = 10 , b =  9 , sel =  1
00110101010 // a = 10 , b = 10 , sel =  1
00110101011 // a = 10 , b = 11 , sel =  1
00110101100 // a = 10 , b = 12 , sel =  1
00110101101 // a = 10 , b = 13 , sel =  1
00110101110 // a = 10 , b = 14 , sel =  1
00110101111 // a = 10 , b = 15 , sel =  1
00110110000 // a = 11 , b =  0 , sel =  1
00110110001 // a = 11 , b =  1 , sel =  1
00110110010 // a = 11 , b =  2 , sel =  1
00110110011 // a = 11 , b =  3 , sel =  1
00110110100 // a = 11 , b =  4 , sel =  1
00110110101 // a = 11 , b =  5 , sel =  1
00110110110 // a = 11 , b =  6 , sel =  1
00110110111 // a = 11 , b =  7 , sel =  1
00110111000 // a = 11 , b =  8 , sel =  1
00110111001 // a = 11 , b =  9 , sel =  1
00110111010 // a = 11 , b = 10 , sel =  1
00110111011 // a = 11 , b = 11 , sel =  1
00110111100 // a = 11 , b = 12 , sel =  1
00110111101 // a = 11 , b = 13 , sel =  1
00110111110 // a = 11 , b = 14 , sel =  1
00110111111 // a = 11 , b = 15 , sel =  1
00111000000 // a = 12 , b =  0 , sel =  1
00111000001 // a = 12 , b =  1 , sel =  1
00111000010 // a = 12 , b =  2 , sel =  1
00111000011 // a = 12 , b =  3 , sel =  1
00111000100 // a = 12 , b =  4 , sel =  1
00111000101 // a = 12 , b =  5 , sel =  1
00111000110 // a = 12 , b =  6 , sel =  1
00111000111 // a = 12 , b =  7 , sel =  1
00111001000 // a = 12 , b =  8 , sel =  1
00111001001 // a = 12 , b =  9 , sel =  1
00111001010 // a = 12 , b = 10 , sel =  1
00111001011 // a = 12 , b = 11 , sel =  1
00111001100 // a = 12 , b = 12 , sel =  1
00111001101 // a = 12 , b = 13 , sel =  1
00111001110 // a = 12 , b = 14 , sel =  1
00111001111 // a = 12 , b = 15 , sel =  1
00111010000 // a = 13 , b =  0 , sel =  1
00111010001 // a = 13 , b =  1 , sel =  1
00111010010 // a = 13 , b =  2 , sel =  1
00111010011 // a = 13 , b =  3 , sel =  1
00111010100 // a = 13 , b =  4 , sel =  1
00111010101 // a = 13 , b =  5 , sel =  1
00111010110 // a = 13 , b =  6 , sel =  1
00111010111 // a = 13 , b =  7 , sel =  1
00111011000 // a = 13 , b =  8 , sel =  1
00111011001 // a = 13 , b =  9 , sel =  1
00111011010 // a = 13 , b = 10 , sel =  1
00111011011 // a = 13 , b = 11 , sel =  1
00111011100 // a = 13 , b = 12 , sel =  1
00111011101 // a = 13 , b = 13 , sel =  1
00111011110 // a = 13 , b = 14 , sel =  1
00111011111 // a = 13 , b = 15 , sel =  1
00111100000 // a = 14 , b =  0 , sel =  1
00111100001 // a = 14 , b =  1 , sel =  1
00111100010 // a = 14 , b =  2 , sel =  1
00111100011 // a = 14 , b =  3 , sel =  1
00111100100 // a = 14 , b =  4 , sel =  1
00111100101 // a = 14 , b =  5 , sel =  1
00111100110 // a = 14 , b =  6 , sel =  1
00111100111 // a = 14 , b =  7 , sel =  1
00111101000 // a = 14 , b =  8 , sel =  1
00111101001 // a = 14 , b =  9 , sel =  1
00111101010 // a = 14 , b = 10 , sel =  1
00111101011 // a = 14 , b = 11 , sel =  1
00111101100 // a = 14 , b = 12 , sel =  1
00111101101 // a = 14 , b = 13 , sel =  1
00111101110 // a = 14 , b = 14 , sel =  1
00111101111 // a = 14 , b = 15 , sel =  1
00111110000 // a = 15 , b =  0 , sel =  1
00111110001 // a = 15 , b =  1 , sel =  1
00111110010 // a = 15 , b =  2 , sel =  1
00111110011 // a = 15 , b =  3 , sel =  1
00111110100 // a = 15 , b =  4 , sel =  1
00111110101 // a = 15 , b =  5 , sel =  1
00111110110 // a = 15 , b =  6 , sel =  1
00111110111 // a = 15 , b =  7 , sel =  1
00111111000 // a = 15 , b =  8 , sel =  1
00111111001 // a = 15 , b =  9 , sel =  1
00111111010 // a = 15 , b = 10 , sel =  1
00111111011 // a = 15 , b = 11 , sel =  1
00111111100 // a = 15 , b = 12 , sel =  1
00111111101 // a = 15 , b = 13 , sel =  1
00111111110 // a = 15 , b = 14 , sel =  1
00111111111 // a = 15 , b = 15 , sel =  1
01000000000 // a =  0 , b =  0 , sel =  2
01000000001 // a =  0 , b =  1 , sel =  2
01000000010 // a =  0 , b =  2 , sel =  2
01000000011 // a =  0 , b =  3 , sel =  2
01000000100 // a =  0 , b =  4 , sel =  2
01000000101 // a =  0 , b =  5 , sel =  2
01000000110 // a =  0 , b =  6 , sel =  2
01000000111 // a =  0 , b =  7 , sel =  2
01000001000 // a =  0 , b =  8 , sel =  2
01000001001 // a =  0 , b =  9 , sel =  2
01000001010 // a =  0 , b = 10 , sel =  2
01000001011 // a =  0 , b = 11 , sel =  2
01000001100 // a =  0 , b = 12 , sel =  2
01000001101 // a =  0 , b = 13 , sel =  2
01000001110 // a =  0 , b = 14 , sel =  2
01000001111 // a =  0 , b = 15 , sel =  2
01000010000 // a =  1 , b =  0 , sel =  2
01000010001 // a =  1 , b =  1 , sel =  2
01000010010 // a =  1 , b =  2 , sel =  2
01000010011 // a =  1 , b =  3 , sel =  2
01000010100 // a =  1 , b =  4 , sel =  2
01000010101 // a =  1 , b =  5 , sel =  2
01000010110 // a =  1 , b =  6 , sel =  2
01000010111 // a =  1 , b =  7 , sel =  2
01000011000 // a =  1 , b =  8 , sel =  2
01000011001 // a =  1 , b =  9 , sel =  2
01000011010 // a =  1 , b = 10 , sel =  2
01000011011 // a =  1 , b = 11 , sel =  2
01000011100 // a =  1 , b = 12 , sel =  2
01000011101 // a =  1 , b = 13 , sel =  2
01000011110 // a =  1 , b = 14 , sel =  2
01000011111 // a =  1 , b = 15 , sel =  2
01000100000 // a =  2 , b =  0 , sel =  2
01000100001 // a =  2 , b =  1 , sel =  2
01000100010 // a =  2 , b =  2 , sel =  2
01000100011 // a =  2 , b =  3 , sel =  2
01000100100 // a =  2 , b =  4 , sel =  2
01000100101 // a =  2 , b =  5 , sel =  2
01000100110 // a =  2 , b =  6 , sel =  2
01000100111 // a =  2 , b =  7 , sel =  2
01000101000 // a =  2 , b =  8 , sel =  2
01000101001 // a =  2 , b =  9 , sel =  2
01000101010 // a =  2 , b = 10 , sel =  2
01000101011 // a =  2 , b = 11 , sel =  2
01000101100 // a =  2 , b = 12 , sel =  2
01000101101 // a =  2 , b = 13 , sel =  2
01000101110 // a =  2 , b = 14 , sel =  2
01000101111 // a =  2 , b = 15 , sel =  2
01000110000 // a =  3 , b =  0 , sel =  2
01000110001 // a =  3 , b =  1 , sel =  2
01000110010 // a =  3 , b =  2 , sel =  2
01000110011 // a =  3 , b =  3 , sel =  2
01000110100 // a =  3 , b =  4 , sel =  2
01000110101 // a =  3 , b =  5 , sel =  2
01000110110 // a =  3 , b =  6 , sel =  2
01000110111 // a =  3 , b =  7 , sel =  2
01000111000 // a =  3 , b =  8 , sel =  2
01000111001 // a =  3 , b =  9 , sel =  2
01000111010 // a =  3 , b = 10 , sel =  2
01000111011 // a =  3 , b = 11 , sel =  2
01000111100 // a =  3 , b = 12 , sel =  2
01000111101 // a =  3 , b = 13 , sel =  2
01000111110 // a =  3 , b = 14 , sel =  2
01000111111 // a =  3 , b = 15 , sel =  2
01001000000 // a =  4 , b =  0 , sel =  2
01001000001 // a =  4 , b =  1 , sel =  2
01001000010 // a =  4 , b =  2 , sel =  2
01001000011 // a =  4 , b =  3 , sel =  2
01001000100 // a =  4 , b =  4 , sel =  2
01001000101 // a =  4 , b =  5 , sel =  2
